CATEGORY,START,STOP,MILES,DURATION in minutes
Business,Cary,Raleigh,8.6,18.0
Business,Raleigh,Morrisville,9.0,22.0
Business,Morrisville,Cary,3.1,9.0
Business,Cary,Morrisville,8.4,19.0
Business,Kenner,New Orleans,12.8,18.0
Business,CBD,Bywater,4.5,9.0
Business,New Orleans,Chalmette,11.8,53.0
Business,Chalmette,Arabi,1.1,7.0
Business,Arabi,Metairie,17.0,28.0
Business,Pontchartrain Shores,Pontchartrain Shores,1.7,9.0
Business,Metairie,New Orleans,15.5,88.0
Business,Storyville,Marigny,1.6,11.0
Business,Marigny,Storyville,1.5,7.0
Business,New Orleans,Kenner,12.6,35.0
Business,Pontchartrain Shores,Pontchartrain Shores,4.8,27.0
Business,Kenner,Kenner,2.2,9.0
Business,Kenner,New Orleans,13.0,28.0
Business,New Orleans,Covington,46.9,71.0
Business,Covington,Covington,2.5,9.0
Business,Covington,Covington,8.6,28.0
Business,Covington,Covington,5.2,25.0
Business,Covington,Covington,7.6,17.0
Business,Covington,Covington,1.8,7.0
Business,Covington,Mandeville,4.7,18.0
Business,Mandeville,Mandeville,2.8,12.0
Business,Mandeville,Metairie,30.0,40.0
Business,Metairie,Kenner,4.4,9.0
Business,Jamestown Court,Jamestown Court,1.0,10.0
Business,Morrisville,Cary,8.2,17.0
Business,Cary,Durham,10.4,20.0
Business,Durham,Cary,9.9,25.0
Business,Durham,Cary,9.9,25.0
Business,Cary,Morrisville,7.3,28.0
Business,Morrisville,Cary,7.4,16.0
Business,Whitebridge,Westpark Place,1.6,2.0
Business,Westpark Place,Whitebridge,1.8,5.0
Business,Cary,Durham,10.4,18.0
Business,Durham,Cary,9.9,-1418.0
Business,Cary,Durham,9.9,17.0
Business,Durham,Cary,9.9,25.0
Business,Cary,Raleigh,13.3,23.0
Business,Raleigh,Cary,11.3,24.0
Business,Cary,Durham,10.5,18.0
Business,Durham,Cary,9.9,-1419.0
Business,Cary,Durham,10.1,18.0
Business,Durham,Cary,9.9,-1416.0
Business,Cary,Morrisville,3.1,10.0
Business,Morrisville,Cary,3.1,6.0
Business,Cary,Durham,9.9,18.0
Business,Durham,Cary,9.9,15.0
Business,Whitebridge,Summerwinds,8.8,18.0
Business,Summerwinds,Whitebridge,8.7,26.0
Business,Cary,Durham,11.8,17.0
Business,Parkwood,Parkwood,1.2,5.0
Business,Durham,Cary,9.9,20.0
Business,Whitebridge,Whitebridge,0.6,4.0
Business,Cary,Durham,9.9,20.0
Business,Durham,Morrisville,8.6,21.0
Business,Morrisville,Cary,6.3,20.0
Business,Cary,Durham,9.9,19.0
Business,Durham,Cary,9.9,20.0
Business,Cary,Morrisville,3.3,10.0
Business,Morrisville,Cary,3.1,13.0
Business,Cary,Morrisville,7.9,28.0
Business,Morrisville,Cary,8.9,6.0
Business,Kenner,New Orleans,12.8,36.0
Business,CBD,Pontchartrain Beach,7.7,23.0
Business,Pontchartrain Beach,CBD,7.0,21.0
Business,New Orleans,Metairie,12.5,23.0
Business,Kenner,New Orleans,13.2,19.0
Business,New Orleans,Kenner,13.0,43.0
Business,Kenner,Metairie,4.9,14.0
Business,Metairie,New Orleans,8.5,18.0
